price,review_scores_rating,neighborhood_overview,bedrooms,bathrooms
$79.00 ,4.86,,1,2
$105.00 ,4.92,It is located in an enviable position as a few meters from several ski lifts such as the 3-Tre and Spinale Direttissima!<br />You can reach the house on skis from the Belvedere slope.,1,1
$240.00 ,4.7,"Bars, supermarkets and shops, all around you.",3,1
$72.00 ,5,"Magras is a charming mountain village, just 1 km from Male ', which is the main centre of Val di Sole.The atmosphere of small mountain villages is something special and is something that no longer exists everywhere... this small village will enchant you!<br /><br />",3,3
$126.00 ,5,"Riva del Garda, Lake Tenno, Cascate del Varone, Torbole, Limone, Monte Baldo cable car.",0,1
$92.00 ,4.76,,2,1
$180.00 ,4.87,,4,2
$66.00 ,4.9,,1,2
$100.00 ,4.92,,1,1
$86.00 ,4.89,,1,1
$160.00 ,4.98,,2,1
$82.00 ,4.8,"The apartment is in the beautiful village of Mezzocorona, population 5,000, surrounded by mountains and vineyards, yet within a short 5 - 10 minutes walk of a grocery, pharmacy, newsstand, laundry, hair salon, etc.",1,1
$135.00 ,4.49,Costa Rotian is a touristic settlement of '70s.  This is a very peaceful place at the edge of the forest. From the roof terrace you can admire the Sun valley and the tops of the mountains.,3,2
$60.00 ,4.73,The apartment is a few steps away from some of the most enjoyable walks in the Italian Alps.,1,1
$100.00 ,4,,1,1
$100.00 ,4.43,,1,1
$168.00 ,4,"The residence consists of 4 buildings of 6 apartments each, located a few hundred meters from the Ciampac ski lifts that lead to the Sellaronda ski area. There is a skibus service with a stop in front of the residence (cost:  daily 3ƒ?ª 3; 3 days ƒ?ª7; 7 days ƒ?ª15)",2,1
$65.00 ,4.89,,2,1
$300.00 ,,,0,1
$85.00 ,4.83,"The Fassa Valley is an area with a strong tourist vocation for the charm of its mountains that have made the history of world mountaineering and for the cultural and folklore heritage of the resident Ladin populations. The ingrained tradition of hospitality of the local community, efficient services and state-of-the-art facilities, the uniqueness of the landscape are the strengths that make the Fassa Valley one of the most appreciated tourist destinations in the Alps.",1,1
$440.00 ,5,,4,2
$135.00 ,4,,1,1
$195.00 ,4.74,"IMMERSED IN THE DOLOMITE MOUNTAINS, PURE AIR IN CONTACT WITH NATURE WITHOUT BEING ISOLATED SINCE THERE ARE TWO HOTELS, BARS, SHELTERS AND OTHER CABINS.<br />DIRECTLY ON the SKI SLOPES IN WINTER (well snowy and ski slopes until Easter) WHILE IN SUMMER YOU WILL FIND YOURSELF AT THE START OF VARIOUS HIKING TRAILS. N.B. IN SUMMER: THE 7 KM TRAIL TO GET TO THE CABIN IS NOT PAVED, IT IS RECOMMENDED TO USE THE CABLE CAR WHERE LUGGAGE, FOOD SUPPLIES, ETC. ARE LOADED. THE CABIN IS 80-100 METERS FROM THE ARRIVAL OF THE GONDOLA AT 2000 METERS.",3,1
$109.00 ,4.69,"The location is very comfortable and quiet for those who want to have all the services available (shops, restaurants, buses/skibuses, pharmacy, newsstands) within a 5-minute walk and be able to forget the use of the car.<br />A short walk takes you to one of the most beautiful playgrounds I've ever seen, as well as tennis, beach volleyball, soccer, and bowling alleys. All without forgetting those who prefer to relax lying on a chaise-longue along the stream.",2,1
$100.00 ,4.8,"In Peio 3 shops are country grocery store, 3 bars, 2 restaurants (one with pizza), Museum of the great war, Church, playground, Bank.<br />In Peio Fonti (1.5 Km), pastry shops, pubs, restaurants, pizzerias, Spa with wellness and pool, lifts to the ski slopes and summer hiking, the Park's Wildlife Center, cinema, tourist office.<br />In Cogolo (5 km) shops, supermarket, Bank, City Hall visitor center of the Park, restaurants and pizzeria, playground, skating, cross-country skiing.<br />Connections by bus and ski bus in winter.<br />The apartment is very panoramic and sunny.",2,1
$397.00 ,4.93,"The Coler area is the starting point for numerous walks: Dorigoni refuge, Saent Falls, Val Maleda, Larici Monumentali and Val di Saent.<br />Nearby are the Malga Stablasolo and Rifugio Fontanin for great dinners.",3,4
$240.00 ,4.89,"Moncion is a tiny village half way up the mountain. It is calm, with very few cars passing by, full of history and tradition from the valley. There are also cows, goats, horses living in the village.<br />You can reach the closest small town (Pera di Fassa) walking down a steep track for 10 minutes: it is a Via Crucis dating from 1726 in the woods. During the summer from Pera you can take a private minibus that takes you back to Moncion.<br />However a private car is necessary: there are no shops or supermarket in Moncion, only a beautiful cafe with a terrace.",3,2
$117.00 ,4.39,"In the morning, before every activity, go downstairs to buy the amazing cushioned sandwiches made in the butcher for your packed lunch and order a baked goods in the evening! <br />A stone's throw away, Marlene's pastry shop offers a breakfast worthy of a king and queen! And don't miss the bakery bread in front of the house, and the dairy is a 5-minute walk away. In short, a delightful world to enjoy surrounded by a wonderful mountain view.<br />SKI<br />The house is 400 meters from the Col Rodella ski lifts and 200 meters from the skibus stop. For those who love winter sports, past the bridge next to the house, you will find the ski and snowboard school, which also organizes day trips in snowshoes, and many rentals of sports equipment such as mountain wheelchairs, bicycles, children's wheelchairs to train with bicycles, snowshoes and more. A stone's throw from home, along the main road you will find the tourist office that will advise you on walks, activities and difficulties.",2,1
$106.00 ,4.62,"Str??da de Gr??va is a quiet side street of the Dolomites national road.<br />During the winter we suggest to people who choose not to ski to participate in one of the snow rackets excursions or alternatively take a trip on a horse drawn sledge towards Canazei.<br />During the summertime our guests can take part in a complimentary excursion accompanied by an alpine guide going to the ""malghe"" (mountain farms). With a contribution of ƒ?ª10,00 they can sample a dish consisting of local products (cheese, speck etc.).",2,1.5
$98.00 ,4.67,"StrÃ¨da de GrÃ¨va is a quiet side street of the Dolomites national road.<br />During the winter we suggest to people who choose not to ski to participate in one of the snow rackets excursions or alternatively take a trip on a horse drawn sledge towards Canazei.<br />During the summertime our guests can take part in a complimentary excursion accompanied by an alpine guide going to the ""malghe"" (mountain farms). With a contribution of â‚¬10,00 they can sample a dish consisting of local products (cheese, speck etc.).",2,1.5
$500.00 ,4.92,"Delightful village 10 minutes from the city of Trento. Characteristic is the recently recovered ""Giardino dei Ciucioi "" that is located in the historic part of the village as well as the walk along the Avisio stream.<br />tastetrentino/discover/events/details-events/article/di-maso-in-maso-di-vino-in-vino/",2,2
$96.00 ,5,"Are you looking for climbing, walking, surfing , and tasting original food ? That's is the way for Casa Belli ...",1,1
$80.00 ,4.78,"The northern part of lake Garda offers a lot of sportive options and many tourist attractions. <br />You can go hiking in the mountains or go on mountain bike tours or simply discover the neighbouring villages Riva, Torbole, Dro   by bike .<br /> Two bikes are at your disposal at the apartment.<br />If you would like to go sailing, windsurfing or kitesurfing you will find a lot of facilities close by.<br />Arco is world famous for climbing and freeclimbing offering indoor climbing in the Rock-Master arena and naturally in the mountains and rocks nearby.<br />Arco attracts many tourists because of its castle and olive plantations. <br />But lake Garda also offers a relaxing holiday on its beautiful beaches along the lake.",1,1
$89.00 ,4.83,here you can really admire nature by staying completely inside,2,2
,4,"The Lake of Caldonazzo in Trentino is at a walking distance of Energy Hotel. It's a paradise for sports enthusiasts, you can play watersports on the lake or at the yacht club: swimming, canoeing, dragon boat, rowing, water skiing, sailing, windsurfing, and, near the lake there is a network of paths and cycling routes.<br />A sheet of clear water, where you can regenerate body and soul, lying on the comfortable grass or sand beachesâ€¦caressed by the warm sunlight. You will forget every problem or worry on your mindâ€¦and while your children are playing on the playgrounds with games, swings and springboards, the whole family smiles with joy again.<br />Not only the Lake of Caldonazzo itself means fun, but its shores are dotted with pub, pizzeria's and restaurants: charming places, where you can have a fresh drink or a cocktail, while you enjoy the light breeze on your face. Time stands still and problems float away, around you nothing but lush nature.<br />Lagorai in summer<br /><br />Summe",1,
$120.00 ,,"Location Fovi di Miola - Baselga di PinÃ¨<br />Quiet residential area, very close to the ice stadium",4,2
$110.00 ,4.67,"water sports, swimming, pedalling, tennis, mountain biking, mountain hiking,surfing,sailboat, rock walls to climb.",2,1
$130.00 ,5,"very peaceful neighborhood, no traffic, uphill.",3,1
$45.00 ,4.78,,2,1
$32.00 ,4.8,,1,1
$78.00 ,4.83,"Located in the heart of the Adamello Brenta Natural Park, Carisolo is the ideal place to spend a holiday full of relaxation and sports.<br /><br />Renowned tourist resort both summer and winter, Carisolo is just 11km from Madonna di Campiglio, an hour from Lake Garda (summer sports, relaxation and gastronomy) and Trento (culture and art).<br /><br />The house is in a very quiet, sunny area and a few minutes walk from downtown and the Sarca River, an ideal place for a walk or a ride to the park with children.",2,1
$250.00 ,4.62,,2,2
$325.00 ,4.7,"Volano (IPA: [/vo'lano/], Volam o 'Olam in Trentino dialect [2], in the past Nussdorf, equivalent to ""hazel"" in German [3]) is a town of 3,083 inhabitants. Small village with some historical sites of interest. Churches and castles within easy reach.",4,2
$133.00 ,4.75,"We are a few minutes walk from the historic center of Fiera di Primiero, convenient location to all the main services.",3,1
$250.00 ,4,,2,1
$55.00 ,4.84,"Very quiet residential area uphill, overlooking the city centre.",1,1
$147.00 ,4.87,"It is a small town, everybody knows everyone. Super safe area.",3,2
$217.00 ,4.75,"The building is located inside the Residential "" Al Sole "", in a quiet area just few minutes walking distance from town's center and the beaches of Torbole, a lovely little town that has preserved its original appearance typical of a fishing village. Nowadays it has become an internationally-renown sailing and wind-surfing spot.",2,1
$70.00 ,4.67,"Volano (IPA: [/vo'lano/], Volam o 'Olam in Trentino dialect [2], in the past Nussdorf, equivalent to ""hazel"" in German [3]) is a town of 3,083 inhabitants. Small village with some historical sites of interest. Churches and castles within easy reach.",1,1
$120.00 ,5,"Volano (IPA: [/vo'lano/], Volam o 'Olam in Trentino dialect [2], in the past Nussdorf, equivalent to ""hazel"" in German [3]) is a town of 3,083 inhabitants. Small village with some historical sites of interest. Churches and castles within easy reach.",1,1
$148.00 ,4.78,,2,1
$146.00 ,4.63,"The Chalet is located 300mt. from the center and so convenient to the major public services such as pharmacy, bank, post office, supermarket, laundry, bus stop, bar / restaurants etc. It is very closed to the ski slopes 300mt.",2,1
$163.00 ,4.8,,2,1
,4.38,"Location near the woods, on the edge of the ancient village of Carciato. Starting point for beautiful excursions surrounded by nature, which runs along the stream, even if not demanding, and can be walked, by mountain bike and strollers and perfect for Nordic Walking!",2,
$64.00 ,4.9,"The quiet location, the lake, its magical color especially in summer, its clean water for swimming in tranquility from June to September, the green and nature surrounding the house, the relaxing garden.",1,1
$60.00 ,,,1,1
$60.00 ,4.81,"YOU ARE 20 MINUTES FROM DOWNTOWN DI TORBOLE REACHABLE EITHER ON FOOT THROUGH TRAILS, BY BIKE OR BY CAR ALONG THE BUSY MAIN ROAD.<br />WHILE YOU ARE AWAY FROM THE ACROPARK OF THE CHILDREN'S ENVELOPES AND PANORAMIC WALK OVER LAKE GARDA ALONG THE SLOPES OF MOUNT BALDO FOR THEELDERLY  (RECOMMENDED)<br /><br />WITH THE AUTO YOU CAN REACH LAKE TENNO VERY NICE,LAKE LEDRO,LAKE TOBLINO, MALCESINE,MART,ROVERETO,CASTELLO DI ARCO WITH ITS SMALL TOWN OF ARCH,MONTE CREINO,VALLE DI RONZO AND THE ALTOPIAN OF POLSA AND BRENTONICO.",1,1
$130.00 ,4.83,,2,1
$120.00 ,4.75,,1,1
$108.00 ,4.6,"Arco town famous for all activities' related to outdoor living, relaxing, excellent climate throughout the year.",2,1
$95.00 ,4.8,,1,1
$90.00 ,4.81,,2,1
$140.00 ,4.78,"Passo del Tonale offers essential services: supermarket, pharmacy, tobacco, bars and restaurants",2,1
$75.00 ,4.92,"The Val di Gresta valley is well-known for its organic produce and the delicious vegetables. It is a pleasant area, next to more touristic places, like Lake Garda or Rovereto, yet far from the noise and crowd. You can go hiking or mountain biking. Or you can simply relax in nature.",1,1
$214.00 ,5,"The new Apartment is in the town centre of Riva del Garda, in a very central yet quiet area, only few steps away from the lake, historical centre, the Conservatory FA Bonporti, Sailing Club, Congress Building, Harbour and about 250 m. far from the beach.",1,1
$177.00 ,4.95,"WHETHER IT IS SUMMER OR WINTER<br /><br />Canazei is considered the capital of skiing in the Val di Fassa and is well known throughout the international ski scene. Who gets the comfortable cabin with automatic coupling from the town center is located just a few minutes ' projected in the largest and most spectacular skiing circuit in the world: the Sella Ronda. The wide and sunny conca del Belvedere, thanks to the many plants you can ski on ski area not only itself, but from here take in the famous Dolomiti Superski circuit. The choices are endless, ranging from easy, medium, until that marked reserved black skier boldest. In summer, Canazei offers many ideas for memorable excursions. Some names of peaks of the Dolomites as Pordoi, Sella and Marmolada evoke alone hiking and climbing tours that have made the history of the world. Between summer and winter, the fan is facing the embarrassment of choice. Canazei is forbidden, even bored at night!<br />Identity card of Canazei<br />NomeCan",2,2
$126.00 ,4.89,"WHETHER IT IS SUMMER OR WINTER<br />Canazei is considered the capital of skiing in the Val di Fassa and is well known throughout the international ski scene. Who gets the comfortable cabin with automatic coupling from the town center is located just a few minutes ' projected in the largest and most spectacular skiing circuit in the world: the Sella Ronda. The wide and sunny conca del Belvedere, thanks to the many plants you can ski on ski area not only itself, but from here take in the famous Dolomiti Superski circuit. The choices are endless, ranging from easy, medium, until that marked reserved black skier boldest. In summer, Canazei offers many ideas for memorable excursions. Some names of peaks of the Dolomites as Pordoi, Sella and Marmolada evoke alone hiking and climbing tours that have made the history of the world. Between summer and winter, the fan is facing the embarrassment of choice. Canazei is forbidden, even bored at night!<br />Identity card of Canazei<br />NomeCanazei. ",1,1
$400.00 ,4.14,,2,1
$400.00 ,5,,3,1
"$20,000.00 ",4.75,,2,1
$400.00 ,4.35,,2,1
$109.00 ,4.91,"Close to Lake Garda, the boulevard with restaurants, sailing club, shops, city center. The old town is also nearby.",2,1
$190.00 ,5,,1,1
$300.00 ,4.68,I love that everything is convenient and the area is very quiet and relaxing but if you want people or shopping you have all of that 5 min away !,3,2
$99.00 ,4.82,Square under the Church near the fountain,2,1
$69.00 ,4.93,"Where are we?<br /><br />We are steps away from the old parish church of Baselga and the historic core. In 10 minutes walk you arrive at the Lake of the SerrÃ ia, 4 supermarkets, pizzerias, restaurants and bars.",2,1
$92.00 ,4.92,"We are a stone's throw from the ancient Pieve di Baselga and the historic centre. In 10 minutes you can walk to Lake Serraia, 4 supermarkets, pizzerias, restaurants and bars.",2,1
$90.00 ,,"Through beautiful walks, hike, mountain bike trips you will enjoy an overwhelming nature, fantastic waterfalls and exciting landscapes. Quiet place, no entertainment",1,1
$152.00 ,4.93,"WHETHER IT IS SUMMER OR WINTER<br />Canazei is considered the capital of skiing in the Val di Fassa and is well known throughout the international ski scene. Who gets the comfortable cabin with automatic coupling from the town center is located just a few minutes ' projected in the largest and most spectacular skiing circuit in the world: the Sella Ronda. The wide and sunny conca del Belvedere, thanks to the many plants you can ski on ski area not only itself, but from here take in the famous Dolomiti Superski circuit. The choices are endless, ranging from easy, medium, until that marked reserved black skier boldest. In summer, Canazei offers many ideas for memorable excursions. Some names of peaks of the Dolomites as Pordoi, Sella and Marmolada evoke alone hiking and climbing tours that have made the history of the world. Between summer and winter, the fan is facing the embarrassment of choice. Canazei is forbidden, even bored at night!<br />Identity card of Canazei<br />NomeCanazei. ",1,1
$177.00 ,4.88,"WHETHER IT IS SUMMER OR WINTER<br /><br />Canazei is considered the capital of skiing in the Val di Fassa and is well known throughout the international ski scene. Who gets the comfortable cabin with automatic coupling from the town center is located just a few minutes ' projected in the largest and most spectacular skiing circuit in the world: the Sella Ronda. The wide and sunny conca del Belvedere, thanks to the many plants you can ski on ski area not only itself, but from here take in the famous Dolomiti Superski circuit. The choices are endless, ranging from easy, medium, until that marked reserved black skier boldest. In summer, Canazei offers many ideas for memorable excursions. Some names of peaks of the Dolomites as Pordoi, Sella and Marmolada evoke alone hiking and climbing tours that have made the history of the world. Between summer and winter, the fan is facing the embarrassment of choice. Canazei is forbidden, even bored at night!<br />Identity card of Canazei<br />NomeCan",2,2
$152.00 ,4.83,"Canazei is a small town of about 1,900 people, thrives on tourism and all the people helping to make sure that all our guests can return home with the Dolomites in the heart. There are many things to see and experience both in winter and in summer and if you'nt sporty you want to spend your days relaxing",1,1
$152.00 ,4.8,"WHETHER IT IS SUMMER OR WINTER<br />Canazei is considered the capital of skiing in the Val di Fassa and is well known throughout the international ski scene. Who gets the comfortable cabin with automatic coupling from the town center is located just a few minutes ' projected in the largest and most spectacular skiing circuit in the world: the Sella Ronda. The wide and sunny conca del Belvedere, thanks to the many plants you can ski on ski area not only itself, but from here take in the famous Dolomiti Superski circuit. The choices are endless, ranging from easy, medium, until that marked reserved black skier boldest. In summer, Canazei offers many ideas for memorable excursions. Some names of peaks of the Dolomites as Pordoi, Sella and Marmolada evoke alone hiking and climbing tours that have made the history of the world. Between summer and winter, the fan is facing the embarrassment of choice. Canazei is forbidden, even bored at night!<br />Identity card of Canazei<br />NomeCanazei. ",2,1
$82.00 ,4.58,"Residential area of Mezzana served by a market, in front of the Municipal Playground.",2,1
